 	1A2	1B3	MCV6	MCV8	BIV1-	BIV1+
Foxd1	0.025274039	-0.056939116	0.563484807	0.696176136	-0.242327955	0.301298795
Foxd2	-0.802863171	-0.806810268	-1.32878446	-1.116836392	-1.155781845	-1.116841575
Foxd3	-0.828118685	-0.753402084	-1.864166916	-1.082324592	0.426131315	-1.756039578
Foxd4	-1.126062324	-1.483915964	-0.852481974	-1.417236933	-1.239380922	-1.124199298
Foxe3	-0.197111082	-0.482676895	-0.466216031	-0.453939669	-0.651675361	-0.364699382
Foxf2	-1.475654646	-1.667093507	-1.42152695	-0.302949434	-1.325006533	-2.3842817
Foxg1	-1.292234736	-1.483915964	0.851350471	-0.107571624	-2.543798364	-1.834052314
Foxh1	-0.519834167	-0.43009999	-1.102299312	-0.980628858	0.990858415	-0.842340059
Foxi1	-1.002830794	-1.483915964	-0.929738942	-1.313770648	-2.220836463	-0.803676317
Foxj1	-0.928847826	-0.660275575	1.032832872	-0.627497047	-1.591620075	-0.512449316
Foxj2	0.312987321	0.44574341	0.172953374	0.346206227	-0.12824031	0.629420544
Foxj3	0.286564229	0.240988842	0.293049645	0.455689173	0.276612669	0.379921102
Foxk1	0.28163245	0.242616039	0.022106612	0.302949434	-0.169749602	0.075860359
Foxk2	0.527070993	0.438777675	0.761948125	0.496325534	0.388414755	0.420954361
Foxl2	-0.341301714	-0.457985391	-0.813499993	-0.874189602	-0.516049046	-0.806943255
Foxm1	0.237535413	0.208571217	0.271695387	-0.0063157	0.161746679	-0.142580715
Foxn1	-1.017234042	-1.330367142	-1.122718904	-1.396172341	-1.90554536	-1.404530584
Foxn2	0.206781384	0.245872345	0.218012551	0.240701894	0.317856386	0.250464234
Foxn3	0.388547847	0.341590412	0.610314215	0.598956742	0.811311432	0.72662112
Foxn4	-0.148215748	-0.002371197	0.009473638	-0.408914702	-0.396936803	-0.510651579
Foxo1	0.410772804	0.336570406	0.46094651	0.464457613	0.635195342	0.48565109
Foxo4	0.853908982	0.771315834	0.668331339	1.347976648	0.258616326	0.798250239
Foxp1	0.950871466	0.929633513	1.149675387	0.90694819	0.666363657	0.869589681
Foxp2	-1.299495756	-1.138948431	-0.918884769	-1.43894447	-1.344102999	-1.559182818
Foxp3	-1.814125419	-1.020738035	-1.020846551	-0.869585646	-1.748795701	-0.642929918
Foxp4	0.428006275	0.301656583	0.445213128	0.088533805	0.224483941	0.221247637
Foxq1	-0.879116052	-1.313478624	-0.999889247	-0.503474563	-0.499898536	-0.639058313
Foxs1	-0.460228176	-0.753402084	-0.714363167	-0.862713783	-0.481218032	-0.915293787
Gabpa	1.203404926	1.293327802	0.776771781	0.953017089	1.122721436	0.902213882
Gabpb1	0.965811393	0.9946121	0.552429561	0.933380231	1.10519093	0.75146345
Gata1	-0.599163961	-0.868324437	-0.12824002	-0.385012515	-1.748795701	-0.790692649
Gata2	0.221323155	0.466771329	-0.061616383	-0.388413469	-0.368074138	0.248835744
Gata3	-1.388396286	-1.776661616	-0.502580076	-1.277469888	-0.646810245	-0.201874988
Gata4	-0.888420447	-0.974185392	-1.748791757	-1.40873662	-0.572751218	-0.888117311
Gata5	-1.306825332	-1.330367142	-0.988289998	-1.344098548	-1.643638454	-1.099423226
Gata6	-0.953346801	-0.707092976	0.526889263	-0.457440062	-0.490981871	-0.561639565
Gatad1	1.426333349	1.440659883	1.479807684	1.655811855	1.53842685	1.631698874
Gatad2b	0.348002687	0.491565559	0.567185055	0.543267227	0.494543853	0.608418198
Gbx1	-0.778105367	-0.753402084	-0.629418288	-1.032831781	-0.817894276	-0.909329247
Gbx2	0.187459018	0.044276622	0.248834852	-0.433050929	0.98317912	-1.282814514
Gcm1	-1.496896808	-1.225755779	-1.016883308	-1.302701178	-1.04497058	-0.960479965
Gcm2	-0.749631588	-0.622490233	-1.30637475	-1.155778018	-1.392037071	-0.793926107
Gfi1b	-0.451474134	-0.406827295	-1.02748754	-0.796082633	-0.91529257	-1.308222108
Gli1	-0.549865824	-0.753402084	-0.594247963	-0.452191543	0.483876349	-0.570895069
Gli2	-0.986070244	-0.923589602	-1.158847243	-1.04090511	0.831166672	-1.108090715
Gli3	0.137844583	0.025295418	-0.012631663	-0.494542215	0.374837162	-0.862717787
Glis1	0.056100012	0.126799181	-0.405486629	-0.455689173	-0.271696	-0.312051897
Glis2	1.004131647	0.981797897	0.478562005	0.55794814	0.5106509	0.670305501
Glis3	-1.002830794	-1.776661616	-1.057258175	-1.523277147	-0.853616486	-1.658902642
Gm22	-0.62771414	-0.156336406	-0.886947319	-0.563484212	-0.504371652	-0.49454451
Gm239	-1.356262823	-1.225755779	-1.82987496	-0.732786137	-0.98317912	-1.538428896
Gm4981	-1.609033745	-1.776661616	-0.795002907	-0.776770961	-1.054515796	-0.575541027
Gm5595	-0.166604235	-0.058522522	-0.176159292	0.079027245	0.734850849	-0.150559909
Gm608	0.543455179	0.426637907	1.046326034	0.960475508	0.655578495	1.039559712
Gm98	1.499298736	1.555777176	2.161105229	1.371679447	1.344102999	1.619983559
Gmeb1	-0.101256744	-0.122020329	0.039483078	-0.09011898	-0.039483167	-0.056871581
Gmeb2	0.090150158	0.014227646	0.121875166	-0.034743051	-0.037903074	0.044224106
Gmnn	1.988935506	2.013591368	2.101067592	2.145362638	2.249038849	1.575196985
Gps2	0.595394084	0.508561231	1.246171207	0.820093663	0.627499124	0.720480007
Greb1	-0.160202218	0.101342394	-0.462701599	-0.331163989	-0.453941172	-0.57275198
Grhl1	0.147417419	-0.093401223	0.229342709	0.424402819	0.015789848	0.650701982
Grhl2	-0.61432899	-0.607242402	-0.708275287	-0.718435621	-0.04264365	-0.860436122
Grhl3	-0.025274039	0.192445477	-0.142580204	-0.52326815	0.099635222	-1.186965247
Grip1	-1.250020235	-1.667093507	-0.953018095	-1.503608284	-0.148963128	-1.408743157
Grlf1	1.144008175	1.051662114	1.30453647	0.962973452	1.239380922	1.096552205
Gsc	-1.753005548	-1.483915964	-0.61602196	-0.768279796	-0.578333752	-1.0103165
Gsc2	-0.476074551	-0.482676895	-0.529609185	-1.035515453	-0.697182769	-0.865003915
Gsx1	-0.347164224	-0.482676895	-0.63519391	-0.876498485	-1.106638933	-0.575541027
Gsx2	-1.647224745	-1.776661616	-1.277471237	-1.351874963	-1.310067458	-1.299052357
Gtf2a1	0.445366687	0.339916136	-0.004736766	0.214780292	0.247207579	0.110748686
Gtf2a1l	-1.415591915	-1.776661616	-1.359734762	-1.027486455	-0.959231939	-1.071106002
Gtf2a2	1.925681497	1.836230226	1.859760459	1.999590162	1.770800664	1.851060124
Gtf2f1	1.721292529	1.616124529	1.734575671	1.575189675	1.619981405	1.61420768
Gtf2i	1.159246942	1.275449436	0.781038254	0.867290512	0.940704992	0.764058313
Gtf2ird1	0.938580391	0.875231752	0.666362154	0.441731286	0.670304609	0.47856372
Gtf2ird2	0.489370826	0.546661888	0.833390985	0.208322869	-0.152955297	0.079027612
Gzf1	0.879116052	1.115237977	0.595188797	0.712330213	0.572751218	0.928530895
Hand1	-0.503648749	-0.635950473	-0.559792196	-0.593307025	-0.732788563	-0.716400868
Hand2	-1.033189107	-1.154094966	-0.975554711	-0.851349572	-0.837857587	-0.973029932
Hbp1	0.602942298	0.556769506	0.813499993	0.957983495	0.787466323	0.855886068
Hcfc1	1.193747708	1.092132253	0.953018095	1.087987409	1.317500538	0.996011632
Hcfc2	0.112375725	0.071195329	0.042643553	0.098048308	-0.16814817	0.239078374
Hdac1	2.061228678	2.050157393	1.727596108	1.661993754	2.506501384	2.249041839
Hdac2	1.174757335	1.163310047	1.528288387	1.412974117	1.143616309	1.371685812
Hdac3	1.554462299	1.621907267	1.756033284	1.643633011	1.503613262	1.608484729
Hdac4	0.391954442	0.331558781	0.297996078	0.532332436	0.012631691	0.753554347
Hdac5	0.792039806	0.780899319	1.580619469	1.068315983	0.482103762	1.062775337
Hdac7	0.496497246	0.409402182	0.523268702	0.559791605	0.192216967	0.895143541
Hdac8	0.161802102	0.192445477	0.193824896	0.19221633	-0.075860258	0.25535368
Hells	0.676467203	0.64563508	0.619838202	0.359642548	1.043614674	0.033163387
Hes1	1.392514059	1.315336836	1.057258175	0.680200291	1.18063603	1.030160249
Hes2	-0.745464566	-0.660275575	-1.057258175	-0.864999901	-1.127157854	-0.967991799
Hes3	-0.524353996	-0.868324437	-1.071102162	-0.813499134	-0.686173126	-1.367682223
Hes5	-0.702455535	-0.527516828	-1.23264131	-1.206231519	-1.295412901	-0.95054702
Hes6	1.009351994	1.004981015	0.800414995	0.710300927	1.040908557	0.800417864
Hes7	-0.141831693	-0.324056721	-0.818992988	-0.357959531	-0.59142992	-0.242328277
Hesx1	-0.909639624	-0.660275575	-0.891621772	-1.038206542	-0.10280915	-1.142108909
Hey1	-0.304707674	-0.482676895	-0.22286485	0.004736761	0.148963128	1.236007194
Hey2	-1.972377603	-1.776661616	-0.276612046	-1.099418124	-1.66511399	-0.680203447
Heyl	-0.876801725	-0.792709771	-0.916487288	-1.375704945	-1.367680405	-1.190146822
Hhex	0.924014111	0.871772949	-0.011052636	1.110993138	0.341184805	0.306257397
Hic1	-0.052145621	-0.002371197	-0.407200287	-0.526888707	-0.489203198	-0.459194473
Hic2	0.179428872	0.163540614	-0.153753672	-0.113925829	0.708276884	0.2684222
Hif1a	0.664624686	0.68698886	0.503475095	0.732786137	0.595190139	0.576471695
Hinfp	0.185852047	0.114061644	0.099634997	0.18418183	0.105984107	0.32284091
Hipk2	0.10760884	0.093401223	0.126648334	0.361326576	0.050546774	0.482104403
Hira	0	0.058522522	-0.023685939	-0.047385019	0.237454048	-0.072693862
Hivep1	0.099669362	0.126799181	-0.126648334	0.293049335	0.206710553	0.209937381
Hivep2	0.532516605	0.452730615	0.164946215	0.339511394	-0.193825333	0.326168062
Hivep3	-0.835909491	-0.814468932	-0.809123068	-0.802585502	-0.938258892	-0.837858701
Hlf	-1.027841932	-0.69700607	-0.582064076	-0.904576425	-0.761949844	-1.438951148
Hltf	0.337956934	0.411120265	0.450445261	0.606519351	0.604627489	0.59519093
Hlx	-0.549865824	-0.324056721	-0.618883304	-0.535970291	-0.697182769	-0.759846751
Hmbox1	0.193891749	0.158736898	0.041063265	-0.028424257	-0.123466189	0.21639703
Hmg20a	0.235911469	0.142750027	0.255352764	0.326166548	-0.050546774	0.559794202
Hmg20b	1.00153162	0.940598117	0.652648748	0.688166435	0.700199949	0.899852145
Hmga2	1.071471597	1.010205777	0.923695518	0.617928313	1.079509627	0.862717787
Hmgb1	2.684289359	2.820556106	2.683363839	2.584966604	2.68336989	2.506504716
Hmgb2	1.681509259	1.729653805	1.375706397	1.355793763	1.443372317	0.923698829
Hmgb3	1.430675949	1.41465857	1.905541063	1.778322378	1.661999257	1.193340391
Hmgb4	-2.178146316	-2.089656133	-0.77890326	-0.84009339	-1.090835449	-1.15272612
Hmgxb4	0.261971781	0.567860615	0.570893022	0.745206749	0.642929063	0.749375808
Hmx1	-0.841505278	-0.660275575	-1.484501636	-0.694169574	-0.791768503	-0.671292353
Hmx2	-1.126062324	-1.225755779	-0.840094277	-1.022170093	-1.400340729	-0.73691722
Hmx3	-1.263844218	-2.089656133	-2.035243198	-2.230035481	-2.017104446	-2.268878707
Hnf1a	-1.08269904	-0.753402084	-0.714363167	-0.678215446	-0.765112287	-0.539617701
Hnf1b	-0.943479865	-0.721335567	-1.430182664	-1.655811855	-1.14664192	-1.533341851
Hnf4a	-0.650924083	-0.543914873	-1.259931252	-1.229292318	-1.785957172	-1.259935769
Hnf4g	-2.230807	-2.27157297	-2.358591073	-2.472364117	-2.584975163	-2.161112976
Homez	-0.443624732	-0.575293194	-0.940702871	-1.371679447	-0.885783704	-1.520793548
Hopx	0.094908695	0.416281753	0.955498379	0.550592969	0.61411856	0.211551468
Hoxa1	0.86072981	0.656357858	0.576469629	0.871885332	0.648754463	1.367682223
Hoxa10	-0.398781227	-0.30331059	-0.369762484	-0.637123115	-0.822302433	-0.273334524
Hoxa11	-0.828118685	-0.324056721	-1.006391306	-1.387916113	-0.91170999	-0.517852428
Hoxa13	-0.828118685	-1.483915964	-0.673265594	-0.766165586	-1.310067458	-0.813502909
Hoxa2	-0.222132365	-0.208571217	0.083779674	0.205097403	-0.909328038	-0.368919088
Hoxa3	0.373272683	0.325722271	-0.094875971	-0.15375351	-0.532334198	-0.252093384
Hoxa4	-0.349680341	-0.443128769	-0.906949148	-0.885780772	-1.955668875	-1.165020109
Hoxa5	0.668561854	0.620576476	0.52507813	0.439992592	0.082195541	0.452193641
Hoxa7	0.523449183	0.836616564	0.664395529	0.492760455	-0.299647167	0.341185259
Hoxa9	0.088564434	0.034784469	1.035516546	0.193824692	0.439994049	1.508478379
Hoxb1	-2.094790994	-2.089656133	-2.211808087	-2.506493085	-1.966301767	-2.06052537
Hoxb13	-0.231043318	-0.156336406	0.694170307	0.129831892	-0.523269882	-0.446957425
Hoxb2	0.311329707	0.366821566	0.569038068	0.429587865	-1.009006253	-1.062775337
Hoxb3	0.424549649	0.283515231	0.885781707	0.471497927	-1.099421764	-0.492762742
Hoxb4	0.177824235	0.244243872	0.702213335	0.453939669	-0.431320184	-0.009473672
Hoxb5	-0.62771414	-1.020738035	0.307910815	-0.960475508	-1.66511399	-1.434555809
Hoxb6	0.353038585	0.218272221	0.831164798	-0.625578763	-1.282812809	-0.798250239
Hoxb7	-0.950871466	-0.753402084	-0.877655593	-1.030155469	-1.04497058	-1.548723147
Hoxb9	-0.255440838	-0.575293194	-0.179367007	-0.918883798	-0.796085269	-1.034177493
Hoxc10	1.054877131	-0.324056721	-1.727596108	-1.693890386	-1.999596782	-1.216041846
Hoxc13	-0.755906438	-0.868324437	-2.101067592	-2.023072356	-1.061392582	-1.0103165
Hoxc4	1.088363817	1.188374752	0.480331593	0.011052625	-0.875346363	0.299647565
Hoxc5	-0.293150721	-0.428368314	-0.261881456	-1.475144295	-1.687379482	-1.580625135
Hoxc6	0.563679159	0.579021286	0.120284728	-0.543267227	-0.724570109	-0.606522165
Hoxc8	0.601052066	0.886836739	0.70019837	-1.935031796	-2.411622352	-1.6376408
Hoxc9	0.574806981	0.508561231	-0.102015343	-0.570892419	-0.507060329	-0.483876992
Hoxd1	-0.909639624	-0.660275575	-2.194279549	-2.087167952	-1.142107391	-1.999599441
Hoxd10	-0.222132365	-1.020738035	-2.115379613	-1.817546597	-1.891394932	-0.996011632
Hoxd11	-0.509029163	-0.753402084	-2.047718406	-1.367675877	-1.454554335	-2.239443642
Hoxd12	-0.909639624	-1.225755779	-0.785318876	-0.66243075	-1.196544489	-1.065544076
Hoxd13	0.747546469	0.703049723	-0.860433038	-0.293049335	-0.648754463	0.309567278
Hoxd3	-0.311329707	-0.555848318	-1.40452555	-0.785318047	-1.270411559	-0.131424836
Hoxd4	0.26851382	0.355019232	-0.684178702	-0.174555926	-0.751462451	0.227723176
Hoxd8	1.038565727	1.268409851	-1.222638912	0.783175959	-0.378225043	1.082329614
Hoxd9	1.360203749	1.345700892	-0.40377415	1.199758444	0.134610336	1.242772011
Hr	-0.079054586	0.102931372	0.708275287	-0.193824692	-0.422678389	-0.137797549
Hsbp1	2.011889565	2.07613133	1.687375677	2.211805751	1.707147354	2.268878707
Hsf1	1.14099188	1.099290437	0.960476522	0.860432129	0.89279542	0.809125968
Hsf2	-1.972377603	-1.776661616	-2.289634625	-2.311424239	-1.04497058	-1.834052314
Hsf2bp	-0.690403513	-0.610090643	-0.585803761	-0.532332436	0.6198396	-0.569040108
Hsf4	-0.847127307	-1.020738035	-0.374836317	-0.47326162	-0.471499488	-0.337006298
Hsf5	-1.714473361	-2.443782896	-1.118304308	-1.785951258	-1.310067458	-1.999599441
Hsfy2	-1.263844218	-2.089656133	-1.02748754	-1.851051534	-1.591620075	-2.080376186
Htatip2	0.466376834	0.306621073	0.356277895	0.561636959	0.23420789	0.598959521
Htt	0.409056172	0.268740948	0.270057954	0.056871317	-0.047385176	0.388415271
Icmt	0.686408246	0.638849622	1.024825765	0.75355085	0.806942182	0.973029932
Id1	2.585860917	2.546822475	2.909029908	2.506493085	1.727600004	2.909040336
Id2	-0.606729186	-1.109406558	0.706251777	0.311222035	0.881133132	1.057261965
Id3	0.865299163	0.27858382	1.896065711	1.817546597	1.977159858	2.631024436
Id4	-0.93370315	-0.91997923	0.200263369	0.055289938	0.10122206	1.196546079
Ifi202b	1.20990538	1.385472661	1.553926333	1.30637337	0.569039352	0.623665654
Ifi203	-0.660697705	-0.509459737	1.344099968	-0.291402111	-1.631696704	-1.513377145
Ifi204	-0.712576656	-0.832154778	-0.874190525	-1.602806124	-1.945250884	-2.145372593
Ift172	0.772785738	0.836616564	0.906949148	0.902209696	0.563486077	1.051780289
Ikzf1	-0.480497264	-0.34661895	-1.087988558	-1.125672879	-1.209490942	-0.678218594
Ikzf2	-0.386846227	-0.505868146	-0.247207022	-0.25372202	-0.260248842	-0.176159924
Ikzf3	-1.111377505	-1.157155859	-1.177487068	-1.425840055	-1.085155279	-1.387922554
Ikzf4	-0.849383562	-0.969141276	-0.354596881	-0.554266836	-0.625580834	-0.646811105
Il31ra	-0.599163961	-0.575293194	-1.247878415	-0.978088145	-1.454554335	-1.241075523
Ing4	0.229421812	0.179580646	0.22772236	0.198652779	-0.022106662	0.161746894
Ino80	0.46286119	0.502283001	0.371452706	0.448699391	0.464459151	0.304603705
Insm1	-0.602942298	-0.424908764	-0.381616375	-1.363693935	-0.467976443	-0.361328253
Insm2	-1.68795767	-1.667093507	-1.090832989	-1.355793763	-1.778328266	-1.359739636
Irf1	0.90252183	0.989467126	1.23264131	0.988288954	1.602811431	0.967991799
Irf2	0.289032704	0.378674684	0.031583531	0.698185483	-0.325335507	0.724571072
Irf3	0.528884468	0.252392741	0.37822419	0.414066422	0.30791151	0.53051859
Irf4	-1.14099188	-0.929633513	-1.489228259	-1.674550083	-1.53842685	-1.503615261
Irf5	-0.419374106	-0.208571217	-0.80258635	-1.128637822	-0.563486077	-1.201377608
Irf6	-0.674486953	-1.020738035	0.275792145	0.128239885	0.193825333	0.561639565
Irf7	-0.674486953	-0.753402084	-0.242327409	-0.478561499	-1.174354936	-0.828945661
Irf8	-0.991197937	-0.811180883	-0.933381217	-0.835620394	-0.714364778	-0.867294537
Irf9	0.18906647	0.168348068	0.532332998	0.32949727	0.20187472	0.30295084
Irx1	-0.812684521	-0.406827295	-1.793686553	-0.930950689	-0.395230124	-1.41724351
Irx2	0.447109982	0.565081403	0.66243145	0.498110419	0.203486139	0.865003915
Irx3	0.157003665	-0.156336406	-0.134610032	-0.39864331	0.539616983	-0.426131881
Irx4	-1.323576472	-0.868324437	-1.508472972	-1.299046329	-1.748795701	-1.999599441
Irx5	-0.509029163	-0.208571217	0.453940149	-0.426129904	-0.165746824	0.4998992
Irx6	-0.496497246	-0.660275575	-0.471498425	-0.895139387	-1.842487687	-1.196546079
Isl1	-1.344563562	-1.083614866	-1.538423381	-1.528286773	-0.75774497	0.055290195
Isl2	-0.117940299	0.044276622	-1.468212164	-0.833390105	-1.196544489	-0.72354718
Isx	-0.778105367	-0.868324437	-1.02748754	-1.392032461	-1.842487687	-1.16038947
Itgb3bp	-0.400490794	-0.36007129	-0.234207361	-0.094875871	-0.329498361	-0.250464234
Jarid2	1.466422033	1.406198445	1.649693836	1.785951258	2.211813075	1.727602301
Jazf1	-1.496896808	-1.020738035	-1.149675387	-2.011193759	-0.294698324	-1.461353032
Jdp2	0.400490794	0.457108729	0.768280607	0.23258496	0.556108395	0.702215852
Jmjd1c	0.525259235	0.091813704	0.407200287	0.426129904	0.565335246	0.759846751
Jmjd4	0.120326215	-0.223130299	-0.053708752	-0.197042912	0.211551187	-0.237454364
Jmy	0.448854626	0.443999982	0.286465424	0.591427962	0.190609093	0.469737867
Jun	0.712576656	0.690987507	1.122718904	0.837854813	1.062773924	1.161930271
Junb	1.325460553	1.345700892	1.523278756	1.569807202	0.933383321	1.489233598
Jup	1.834678322	1.648618088	1.674551851	1.116836392	0.980632105	1.493993473
Kat2a	1.288629419	1.289719435	1.266900877	1.003784371	0.970506521	0.648755326
Kat2b	0.06322015	0.118835965	0.153753672	0.379919339	0.278253028	0.507061003
Kat5	1.091209229	1.042146007	1.216037487	1.190141299	1.313774998	1.232645729
Kcnip3	-0.635412995	-0.79919815	-0.569038068	-0.781037429	-0.557949987	-1.236007194
Kdm1a	2.035945175	2.163679268	1.935033839	1.915187201	2.17740022	2.023081744
Kdm3a	1.763975527	1.765467626	2.145364903	2.13013256	1.999596782	1.966304381
Kdm3b	0.631558929	0.595897712	0.612214597	0.897491211	0.702214918	0.935819593
Kdm4a	-0.09808223	-0.014227646	0.247207022	0.18578777	0.222865353	0.169749827
Kdm4b	0.258704943	0.355019232	-0.12983203	0.045804403	0.027634584	-0.007894691
Kdm4d	-1.388396286	-1.483915964	-1.099419285	-1.465914875	-1.842487687	-1.16038947
Kdm5a	-0.171410179	0.050606865	0.079027328	0.082195269	0.158548413	0.121875603
Kdm5b	0.080639045	0.072780185	0.023685939	0.260247981	0.600846183	0.235830974
Kdm5c	0.015795259	0.055355851	0.004736766	-0.025265298	-0.03000394	0.13620386
Kdm5d	-1.786569138	-1.776661616	-0.22772236	-2.268868178	-1.734579582	-1.674557853
Klf1	-0.379202576	-0.660275575	-1.066927664	-0.696176136	-0.476794977	-1.050414761
Klf10	1.86040191	2.196893101	1.408738107	1.58609252	1.379757247	1.58609988
Klf11	0.374965602	0.531148574	0.80258635	0.918883798	0.525079314	0.644869307
Klf12	-1.108468934	-0.816665814	-0.557948729	-1.340240397	-0.57089431	-0.334501725
Klf13	0.726869134	0.775566457	1.168116832	0.849089805	0.732788563	0.98829354
Klf14	-0.036335521	-0.406827295	-0.633266376	-1.21275512	-1.11830683	-0.999892831
Klf15	-0.841505278	-1.225755779	-0.055289996	0.452191543	-0.031583602	0.535972779
Klf16	1.233066461	1.172623935	0.47326212	0.482102165	0.50347623	0.441733336
Klf17	-1.239805602	-1.418926467	-0.855883	-0.988288954	-1.171231555	-1.085156721
Klf2	0.234288142	0.168348068	0.260248255	0.25372202	1.809484683	0.289757015
Klf3	1.344563562	1.393691948	1.29540998	1.206231519	0.650701117	1.122722929
Klf4	0.869886494	0.699017813	1.011623499	1.161924879	1.155781845	0.180972198
Klf5	0.022114237	-0.085465877	0.770398231	-0.050546607	0.471499488	0.109160268
Klf6	0.507234076	0.44748818	0.094875971	0.761947321	0.813501827	1.225963927
Klf7	1.306825332	1.458544391	1.249589239	1.528286773	0.652650219	1.513377145
Klf9	0.380050779	0.850102032	0.975554711	1.183790053	1.249592057	1.325008295
L3mbtl2	1.147034823	1.064037368	1.108086743	0.815693399	1.387920709	0.646811105
Lass2	1.843119024	1.7508747	1.340241812	1.756031429	1.396176964	1.693898247
Lass4	-0.484042151	-0.549412992	0.617928965	0.312879075	0.197043564	0.074277018
Lass5	1.033189107	0.964121444	0.774643798	0.77464298	0.633267804	0.674256812
Lass6	-0.402201521	-0.60156048	-0.01421072	-0.419229067	-0.158548413	-0.039483219
Lbx1	-0.794197094	-0.717251584	-0.627497709	-0.764054768	-0.820096379	-0.720480007
Lbx2	-0.909639624	-0.753402084	-0.95674071	-0.820093663	-1.206235513	-0.585805861
Lcor	0.47166105	0.388876509	0.12824002	0.041063221	-0.142580525	0.351239085
Lcorl	-0.336285951	-0.224750812	-0.652648748	-0.676233249	-0.718438	-0.341185259
Ldb1	1.292234736	1.261431925	1.9771554	1.608477265	1.625811387	1.763373644
Ldb2	-1.896719684	-1.88900354	-1.713882224	-1.770794801	-2.06052263	-1.77833063
Lef1	-1.190553049	-1.418926467	-1.452300222	-0.118694465	0.242327955	0.363013306
Lhx1	-1.771407438	-1.616124529	-0.867291428	-1.317496176	-0.906951193	-1.146643445
Lhx2	-1.533865219	-0.868324437	-1.767069904	-1.756031429	-1.591620075	-1.619983559
Lhx3	-0.865299163	-0.915183778	-1.19654179	-1.016882234	-1.470518922	-1.20949255
Lhx4	-0.766430654	-0.868324437	-1.785953144	-1.29178782	-1.720702922	-1.225963927
Lhx5	-1.053507231	-1.225755779	-0.608416017	-0.921286527	-0.951782278	-0.94193139
Lhx6	-1.213174694	-1.483915964	-0.923695518	-1.347976648	-0.793925052	-1.713888368
Lhx8	-2.094790994	-2.443782896	-1.646656796	-1.518305157	-1.891394932	-2.194287415
Lhx9	-1.27437148	-1.148005068	-1.493988118	-1.793684659	-1.817552615	-1.569814486
Lin28a	-2.023772272	-1.682931602	-0.680201009	-1.748789911	1.817552615	-2.334373614
Lin28b	-1.972377603	-1.483915964	-2.683363839	-2.334362781	-2.68336989	-1.745211103
Litaf	1.869254077	1.780442374	1.051776519	1.935031796	1.575194891	2.543801746
Lmcd1	-0.665608019	-0.482676895	-0.648753	-0.962973452	-0.951782278	-0.753554347
Lmo1	-0.709532762	-0.575293194	-0.535970857	-0.96547737	-1.11830683	-0.659492437
Lmo4	0.813780577	0.606294072	1.35187639	0.926107883	0.94561402	0.930955009
Lmx1a	-1.002830794	-0.868324437	-1.586094194	-1.421525449	-1.697181188	-1.930008598
Lmx1b	-0.863012254	-0.633056605	-0.862714694	-0.751459963	-0.918886841	-0.708277826
Lpin2	-0.137844583	-0.028458143	0.133017031	-0.018948099	0.020527386	0.190609346
Lyl1	-0.909639624	-0.868324437	-0.945611887	-0.817891568	-1.012938129	-0.975558208
Maf	-1.285040629	-1.389570693	-0.690165468	-1.325002146	-0.561638818	-1.313776744
Mafb	-1.348443004	-1.34763974	-0.911707934	-0.722520687	-1.277474118	-0.346207833
Maff	0.787736152	0.961620522	0.517850572	1.518305157	0.975556911	1.87761299
Mafg	1.485013657	1.505400784	1.225959532	1.108085573	0.953020244	1.14361783
Mafk	1.177893195	1.115237977	0.674254395	0.855882096	0.696178441	1.229298023
Maml1	-0.181033968	-0.171555171	-0.079027328	-0.152156168	-0.091704684	-0.026844869
Map3k10	-0.048982693	-0.104520607	-0.11392595	-0.13460989	-0.219629908	0.048965979
Max	1.376180893	1.427539846	1.02748754	1.119772253	1.046328393	1.155783382
Maz	1.422017249	1.375327055	1.236002763	0.890450409	0.923697601	0.906952399
Mbd1	0.026854032	-0.017389632	0.037902989	0.107571624	-0.235830661	0.066363003
Mbd2	0.973362051	0.997194382	0.869586564	1.174351048	0.505267475	1.049051172
Mbd3	1.405009986	1.298771806	1.317497567	1.242766244	1.528291833	1.039559712
Mbd4	-0.134656461	-0.123612968	0.069527838	-0.017368926	0.140985785	-0.074277018
Mbtps2	1.603360642	1.660872566	1.518306761	1.619976041	1.340244835	1.748798026
Mecom	-0.86072981	-1.132961672	-1.387917579	-1.680927714	-0.935818349	-1.770803019
Mecp2	-0.066385655	-0.247501464	0.053708752	0.177762735	-0.083779863	0.39864516
Med1	0.319626359	0.270379613	0.587676652	0.433050929	0.466217082	0.417508898
Med12	1.216456912	1.177318852	1.533336355	1.553924692	1.054515796	1.770803019
Med13	-0.193891749	-0.186009254	-0.098048412	-0.172953192	-0.052127759	-0.17936765
Med14	0.009476905	0.012646708	-0.110748289	-0.001578915	0.16814817	0.004736783
Med16	1.006738421	0.940598117	0.826724634	0.678215446	0.710303279	0.783179593
Med17	0.109197527	0.153936804	0.408915133	0.388413469	0.546928269	0.339512969
Med21	1.614758649	1.579779036	1.569808859	1.625806004	1.332587317	1.564476726
Med23	1.190553049	0.989467126	1.229293616	1.367675877	1.082328175	1.351881236
Med24	0.067968652	-0.015808619	0.279893499	0.08694885	0.10757198	0.026844869
Med27	0.95582794	0.952913773	0.926108861	0.980628858	0.921289577	0.802589227
Med30	1.756638958	1.788080349	1.851053488	1.859758495	1.785957172	1.741646315
Med4	1.570350303	1.715923587	1.336403346	1.332582904	1.359737829	1.344104786
Med6	0.149014171	0.173159375	-0.155351405	-0.166546615	0.091704684	-0.171351693
